Residence,Work,Commute rate
9,28,5.02E-05
34,25,5.01E-05
2,20,5.00E-05
4,33,4.96E-05
17,4,4.96E-05
30,8,4.94E-05
36,22,4.94E-05
33,7,4.93E-05
47,22,4.93E-05
8,3,4.91E-05
37,30,4.90E-05
1,9,4.86E-05
17,8,4.86E-05
27,47,4.82E-05
3,20,4.81E-05
21,34,4.81E-05
12,17,4.80E-05
30,7,4.80E-05
23,29,4.79E-05
25,1,4.79E-05
4,46,4.78E-05
13,2,4.77E-05
17,36,4.77E-05
7,28,4.76E-05
13,6,4.75E-05
27,15,4.73E-05
31,7,4.73E-05
10,28,4.70E-05
28,39,4.70E-05
43,7,4.69E-05
10,1,4.67E-05
31,11,4.66E-05
13,33,4.65E-05
22,34,4.64E-05
28,47,4.64E-05
29,31,4.64E-05
33,8,4.63E-05
12,2,4.62E-05
21,33,4.62E-05
21,10,4.61E-05
20,28,4.60E-05
12,6,4.57E-05
19,24,4.56E-05
27,9,4.56E-05
30,1,4.56E-05
38,4,4.56E-05
1,15,4.54E-05
8,40,4.54E-05
29,3,4.54E-05
29,15,4.53E-05
10,3,4.50E-05
34,8,4.50E-05
42,15,4.48E-05
39,7,4.47E-05
43,8,4.47E-05
2,17,4.46E-05
38,22,4.46E-05
41,22,4.46E-05
21,19,4.45E-05
43,1,4.44E-05
4,20,4.43E-05
10,40,4.43E-05
12,16,4.43E-05
19,6,4.41E-05
18,11,4.40E-05
20,1,4.39E-05
35,36,4.39E-05
46,26,4.38E-05
45,11,4.37E-05
34,1,4.36E-05
34,22,4.36E-05
25,46,4.34E-05
28,15,4.33E-05
1,40,4.30E-05
22,1,4.30E-05
41,11,4.30E-05
3,15,4.29E-05
14,2,4.29E-05
40,25,4.29E-05
13,16,4.28E-05
6,20,4.26E-05
38,24,4.26E-05
22,10,4.25E-05
23,10,4.25E-05
36,7,4.25E-05
24,1,4.22E-05
28,9,4.19E-05
18,38,4.18E-05
41,12,4.17E-05
16,34,4.16E-05
39,18,4.16E-05
45,39,4.16E-05
33,29,4.15E-05
43,22,4.14E-05
21,9,4.13E-05
35,24,4.13E-05
21,1,4.12E-05
9,6,4.11E-05
44,47,4.11E-05
5,22,4.10E-05
39,32,4.10E-05
41,19,4.10E-05
41,36,4.10E-05
39,25,4.09E-05
28,10,4.08E-05
38,1,4.08E-05
3,10,4.07E-05
22,17,4.07E-05
23,15,4.07E-05
41,15,4.06E-05
13,47,4.05E-05
44,11,4.05E-05
44,17,4.05E-05
22,3,4.02E-05
41,8,4.02E-05
37,4,4.01E-05
12,25,4.00E-05
43,26,4.00E-05
37,24,3.99E-05
38,46,3.99E-05
26,15,3.98E-05
27,31,3.98E-05
18,8,3.97E-05
2,24,3.96E-05
23,19,3.96E-05
29,47,3.96E-05
6,22,3.93E-05
34,43,3.93E-05
38,43,3.92E-05
19,21,3.91E-05
33,16,3.91E-05
14,42,3.90E-05
34,42,3.90E-05
38,8,3.90E-05
46,25,3.90E-05
5,27,3.89E-05
11,16,3.89E-05
12,47,3.89E-05
15,1,3.89E-05
45,22,3.89E-05
18,33,3.87E-05
36,25,3.87E-05
28,43,3.85E-05
31,21,3.85E-05
26,10,3.84E-05
35,26,3.84E-05
36,24,3.84E-05
45,1,3.84E-05
31,12,3.83E-05
40,17,3.83E-05
18,20,3.82E-05
32,16,3.82E-05
35,1,3.82E-05
39,1,3.82E-05
27,10,3.81E-05
28,46,3.81E-05
19,40,3.77E-05
33,21,3.77E-05
16,40,3.76E-05
37,21,3.76E-05
43,4,3.76E-05
20,26,3.75E-05
23,9,3.75E-05
16,8,3.73E-05
30,17,3.73E-05
5,28,3.72E-05
27,43,3.71E-05
30,35,3.70E-05
12,5,3.69E-05
15,5,3.69E-05
34,39,3.66E-05
44,4,3.66E-05
7,19,3.63E-05
19,28,3.63E-05
14,35,3.62E-05
21,8,3.62E-05
25,35,3.62E-05
18,32,3.61E-05
17,10,3.59E-05
15,19,3.58E-05
19,26,3.58E-05
27,46,3.57E-05
35,45,3.57E-05
2,21,3.55E-05
12,37,3.55E-05
18,40,3.54E-05
37,31,3.54E-05
41,1,3.54E-05
42,26,3.53E-05
13,25,3.52E-05
16,9,3.52E-05
15,18,3.51E-05
27,39,3.51E-05
14,37,3.50E-05
28,3,3.49E-05
36,4,3.49E-05
40,32,3.49E-05
22,15,3.48E-05
36,21,3.48E-05
37,7,3.48E-05
1,10,3.47E-05
9,26,3.47E-05
25,15,3.47E-05
37,1,3.47E-05
2,16,3.46E-05
15,28,3.45E-05
26,44,3.45E-05
26,43,3.44E-05
2,40,3.43E-05
28,44,3.42E-05
45,37,3.41E-05
24,16,3.40E-05
26,31,3.40E-05
10,25,3.37E-05
27,32,3.37E-05
30,4,3.37E-05
39,30,3.37E-05
47,38,3.37E-05
