Dep_reg_code,Arr_reg_code,Total
19,36,0
19,37,1.2
19,38,0.3
19,39,0
19,40,2.9
19,41,0.1
19,42,0
19,43,0.1
19,44,0
19,45,0
19,46,0
19,47,0
20,1,28.372
20,2,11.6
20,3,14.7
20,4,50.4
20,5,5.4
20,6,12.9
20,7,21.2
20,8,22.6
20,9,29.9
20,10,320.6
20,11,886.6
20,12,271.3
20,13,4275
20,14,294.2
20,15,141.9
20,16,84.2
20,17,113.9
20,18,17.9
20,19,391.5
20,20,0
20,21,103.5
20,22,62.5
20,23,530.3
20,24,4.9
20,25,15.6
20,26,101.3
20,27,173.894
20,28,60.432
20,29,2
20,30,3.4
20,31,1.9
20,32,1.6
20,33,15.3
20,34,28.6
20,35,6.3
20,36,0
20,37,5.3
20,38,2.4
20,39,1
20,40,52.252
20,41,0.8
20,42,0.9
20,43,1.6
20,44,1.6
20,45,0
20,46,1.1
20,47,0
21,1,0
21,2,2.2
21,3,3.2
21,4,9
21,5,1.2
21,6,2.4
21,7,7.9
21,8,8.9
21,9,8.7
21,10,5.6
21,11,23.1
21,12,47.7
21,13,570.7
21,14,134.5
21,15,7.4
21,16,36.4
21,17,39.8
21,18,30
21,19,3.8
21,20,104.6
21,21,0
21,22,112
21,23,23345.2
21,24,31.2
21,25,472.3
21,26,457
21,27,463.4
21,28,80.4
21,29,2.8
21,30,6.2
21,31,3
21,32,2
21,33,25.1
21,34,43.5
21,35,11.7
21,36,0
21,37,7.2
21,38,4.4
21,39,1.4
21,40,37.2
21,41,2.4
21,42,3
21,43,4.8
21,44,3.6
21,45,0.1
21,46,2.5
21,47,0
22,1,56.725
22,2,19.5
22,3,31.2
22,4,71.4
22,5,9.7
22,6,20.2
22,7,42
22,8,56.3
22,9,87.2
22,10,38.5
22,11,251.5
22,12,417.1
22,13,9862.1544
22,14,7860.6
22,15,42.5
22,16,18.7
22,17,50.3
22,18,28.7
22,19,117.4
22,20,65.1
22,21,108.9
22,22,0
22,23,5926.2
22,24,16.5
22,25,67.4
22,26,544.8
22,27,908.8
22,28,212.5
22,29,8.1
22,30,13.5
22,31,7.9
22,32,29.796
22,33,82.5
22,34,134.7
22,35,34
22,36,1.6
22,37,22.8
22,38,14.5
22,39,5.7
22,40,199.7
22,41,6.5
22,42,7.7
22,43,16.1
22,44,11.1
22,45,1.1
22,46,24.055
22,47,41.004
23,1,870.3981
23,2,83.594
23,3,114.258
23,4,261.6141
23,5,43.647
23,6,57.373
23,7,68.8
23,8,67.7
23,9,94.9
23,10,52.6
23,11,185.6
23,12,688.569
23,13,10532.732
23,14,2693.1
23,15,112.366
23,16,127.8
23,17,315.8
23,18,184.1
23,19,35.1
23,20,518.9
23,21,23204.7
23,22,5938.4
23,23,0
23,24,3171.6883
23,25,668.7
23,26,1980.2
23,27,3884.3
23,28,785.1
23,29,13.3
23,30,54.5
23,31,24.1
23,32,60.067
23,33,329.8
23,34,522.1
23,35,123.8
23,36,3.4
23,37,69.9
23,38,86.664
23,39,60.988
23,40,1138.66
23,41,18.8
23,42,100.314
23,43,151.206
23,44,73.145
23,45,77.743
23,46,276.366
23,47,683.229
24,1,0
24,2,0.4
24,3,1.3
24,4,2.1
24,5,0
24,6,0.9
24,7,2.9
24,8,2.4
24,9,3.2
24,10,1.3
24,11,6.4
24,12,9.5
24,13,95.4
